,,,,,,,,,,
Theme: Population,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,
"Table Title: Singapore Residents By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,
,,,,,,,,,,
Data last updated: 27/09/2022,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number
Data Series,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 
Total Residents,4044210,4026209,3994283,3965796,3933559,3902690,3870739,3844751,3818205,3789251
  0 - 4 Years,183076,185355,185528,187653,187160,183575,181369,183295,186673,188249
  5 - 9 Years,198737,197775,199066,200575,201509,204452,205790,205704,206324,208119
  10 - 14 Years,206393,207926,206530,206253,207495,214388,220796,226244,233320,240536
  15 - 19 Years,215234,222222,226520,232973,239771,242902,247337,255066,258861,260738
  20 - 24 Years,244537,249079,255516,259072,260854,264127,263918,266889,264506,255069
  25 - 29 Years,286997,288194,291631,290198,279988,271030,265659,255615,254582,262606
  30 - 34 Years,297798,293446,281397,279340,285544,290619,292287,296870,295396,297555
  35 - 39 Years,299515,300818,303720,300956,301998,301067,302029,305503,313970,316161
  40 - 44 Years,299291,300763,303640,311484,313445,316755,316023,312581,308823,306614
  45 - 49 Years,311740,311682,307838,303457,301183,303413,308533,316336,320925,323991
  50 - 54 Years,296068,301682,308965,312814,315598,315091,315503,312988,310376,308130
  55 - 59 Years,305830,306759,304390,301678,299591,295063,288392,281069,271817,260678
  60 - 64 Years,284626,278828,271688,262651,251853,240493,231502,222154,213996,208160
  65 - 69 Years,229396,221296,212101,203969,198020,182425,161198,145817,128879,112396
  70 - 74 Years,170008,150127,135546,119494,103796,102631,106815,105746,104414,100073
  75 - 79 Years,90990,94600,93327,91953,87955,81211,76294,70619,67675,66909
  80 - 84 Years,66513,62293,57103,54341,53556,51785,48418,46199,44115,42145
  85 - 89 Years,36586,33935,31991,30481,29086,27494,25486,23235,21503,19756
  65 Years & Over,614368,581680,547854,516692,487570,459715,431601,404437,378636,352645
  70 Years & Over,384972,360384,335753,312723,289550,277290,270403,258620,249757,240249
  75 Years & Over,214964,210257,200207,193229,185754,174659,163588,152874,145343,140176
  80 Years & Over,123974,115657,106880,101276,97799,93448,87294,82255,77668,73267
  85 Years & Over,57461,53364,49777,46935,44243,41663,38876,36056,33553,31122
  90 Years & Over,20875,19429,17786,16454,15157,14169,13390,12821,12050,11366
Total Male Residents,1977556,1969382,1955838,1943545,1929526,1916628,1902410,1891504,1880046,1868170
  0 - 4 Years,93388,94666,94916,96041,95678,93852,92528,93520,94924,95885
  5 - 9 Years,101729,101051,101636,102010,102426,103861,104588,104586,105033,106047
  10 - 14 Years,104967,105661,105026,104885,105589,109401,112959,116000,119697,123438
  15 - 19 Years,109868,113555,116102,119500,122911,124287,126514,129989,132106,132579
  20 - 24 Years,124617,126764,129956,131825,132046,133493,132902,134034,132675,128245
  25 - 29 Years,142382,142465,143758,142427,137243,132504,129304,124013,123056,127132
  30 - 34 Years,143022,140208,133775,132378,135596,137847,138954,141262,140686,141947
  35 - 39 Years,141357,142118,143661,142776,143553,143795,144959,147408,152252,154097
  40 - 44 Years,142801,143869,145974,150641,152466,154460,154320,152691,151213,150678
  45 - 49 Years,151690,151637,149811,148095,147517,149607,153194,158312,161122,163002
  50 - 54 Years,145383,149121,153908,156386,158202,158465,158734,157789,156561,155424
  55 - 59 Years,152960,153477,152528,151320,150315,147860,144316,140813,136379,130717
  60 - 64 Years,141471,138324,134928,130589,125130,119660,115217,110241,105781,102799
  65 - 69 Years,112609,108655,103758,99351,96349,88697,78285,70525,62372,54115
  70 - 74 Years,80819,71234,64029,56463,48691,47779,49438,48663,47890,46135
  75 - 79 Years,40773,42201,41288,40524,38976,36126,33753,31164,29715,29123
  80 - 84 Years,27886,26077,23779,22400,21884,20932,19515,18572,17496,16558
  85 - 89 Years,13522,12484,11748,10989,10387,9728,8985,8122,7519,6889
  65 Years & Over,281921,266466,249859,234672,220854,207536,193921,180846,168561,156180
  70 Years & Over,169312,157811,146101,135321,124505,118839,115636,110321,106189,102065
  75 Years & Over,88493,86577,82072,78858,75814,71060,66198,61658,58299,55930
  80 Years & Over,47720,44376,40784,38334,36838,34934,32445,30494,28584,26807
  85 Years & Over,19834,18299,17005,15934,14954,14002,12930,11922,11088,10249
  90 Years & Over,6312,5815,5257,4945,4567,4274,3945,3800,3569,3360
Total Female Residents,2066654,2056827,2038445,2022251,2004033,1986062,1968329,1953247,1938159,1921081
  0 - 4 Years,89688,90689,90612,91612,91482,89723,88841,89775,91749,92364
  5 - 9 Years,97008,96724,97430,98565,99083,100591,101202,101118,101291,102072
  10 - 14 Years,101426,102265,101504,101368,101906,104987,107837,110244,113623,117098
  15 - 19 Years,105366,108667,110418,113473,116860,118615,120823,125077,126755,128159
  20 - 24 Years,119920,122315,125560,127247,128808,130634,131016,132855,131831,126824
  25 - 29 Years,144615,145729,147873,147771,142745,138526,136355,131602,131526,135474
  30 - 34 Years,154776,153238,147622,146962,149948,152772,153333,155608,154710,155608
  35 - 39 Years,158158,158700,160059,158180,158445,157272,157070,158095,161718,162064
  40 - 44 Years,156490,156894,157666,160843,160979,162295,161703,159890,157610,155936
  45 - 49 Years,160050,160045,158027,155362,153666,153806,155339,158024,159803,160989
  50 - 54 Years,150685,152561,155057,156428,157396,156626,156769,155199,153815,152706
  55 - 59 Years,152870,153282,151862,150358,149276,147203,144076,140256,135438,129961
  60 - 64 Years,143155,140504,136760,132062,126723,120833,116285,111913,108215,105361
  65 - 69 Years,116787,112641,108343,104618,101671,93728,82913,75292,66507,58281
  70 - 74 Years,89189,78893,71517,63031,55105,54852,57377,57083,56524,53938
  75 - 79 Years,50217,52399,52039,51429,48979,45085,42541,39455,37960,37786
  80 - 84 Years,38627,36216,33324,31941,31672,30853,28903,27627,26619,25587
  85 - 89 Years,23064,21451,20243,19492,18699,17766,16501,15113,13984,12867
  65 Years & Over,332447,315214,297995,282020,266716,252179,237680,223591,210075,196465
  70 Years & Over,215660,202573,189652,177402,165045,158451,154767,148299,143568,138184
  75 Years & Over,126471,123680,118135,114371,109940,103599,97390,91216,87044,84246
  80 Years & Over,76254,71281,66096,62942,60961,58514,54849,51761,49084,46460
  85 Years & Over,37627,35065,32772,31001,29289,27661,25946,24134,22465,20873
  90 Years & Over,14563,13614,12529,11509,10590,9895,9445,9021,8481,8006
Total Malays,545498,540783,535824,530710,525888,520923,516657,512837,509519,506637
